STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT,THSMON_SELNG_CO,MDWK_SELNG_AMT,WKEND_SELNG_AMT,MON_SELNG_AMT,TUES_SELNG_AMT,WED_SELNG_AMT,THUR_SELNG_AMT,FRI_SELNG_AMT,SAT_SELNG_AMT,SUN_SELNG_AMT,TMZON_00_06_SELNG_AMT,TMZON_06_11_SELNG_AMT,TMZON_11_14_SELNG_AMT,TMZON_14_17_SELNG_AMT,TMZON_17_21_SELNG_AMT,TMZON_21_24_SELNG_AMT,ML_SELNG_AMT,FML_SELNG_AMT,AGRDE_10_SELNG_AMT,AGRDE_20_SELNG_AMT,AGRDE_30_SELNG_AMT,AGRDE_40_SELNG_AMT,AGRDE_50_SELNG_AMT,AGRDE_60_ABOVE_SELNG_AMT,MDWK_SELNG_CO,WKEND_SELNG_CO,MON_SELNG_CO,TUES_SELNG_CO,WED_SELNG_CO,THUR_SELNG_CO,FRI_SELNG_CO,SAT_SELNG_CO,SUN_SELNG_CO,TMZON_00_06_SELNG_CO,TMZON_06_11_SELNG_CO,TMZON_11_14_SELNG_CO,TMZON_14_17_SELNG_CO,TMZON_17_21_SELNG_CO,TMZON_21_24_SELNG_CO,ML_SELNG_CO,FML_SELNG_CO,AGRDE_10_SELNG_CO,AGRDE_20_SELNG_CO,AGRDE_30_SELNG_CO,AGRDE_40_SELNG_CO,AGRDE_50_SELNG_CO,AGRDE_60_ABOVE_SELNG_CO
20253,11215860,구의2동,CS100008,분식전문점,661767092.0,70237.0,420218190.0,241548902.0,67460697.0,71961595.0,81820435.0,96791499.0,102183964.0,127588572.0,113960330.0,879863.0,31633171.0,155486019.0,128327088.0,280405196.0,65035755.0,266769638.0,373407126.0,7161506.0,92207484.0,168026383.0,190303817.0,121851869.0,60625706.0,44907.0,25330.0,7410.0,7590.0,8681.0,10334.0,10892.0,13230.0,12100.0,250.0,3730.0,15412.0,13629.0,29439.0,7777.0,27981.0,41253.0,930.0,10263.0,18254.0,19927.0,13136.0,6724.0
20253,11215860,구의2동,CS100009,호프-간이주점,642463828.0,16321.0,419306903.0,223156925.0,78382827.0,98170379.0,77059404.0,67181512.0,98512781.0,124062746.0,99094179.0,63132777.0,501519.0,59252268.0,56846645.0,232631903.0,230098716.0,418323779.0,192477448.0,2736265.0,48345861.0,99298712.0,136772845.0,177125993.0,146521555.0,11526.0,4795.0,2136.0,2740.0,2246.0,1909.0,2495.0,2573.0,2222.0,1143.0,14.0,2496.0,1272.0,6458.0,4938.0,9975.0,5857.0,127.0,1472.0,2473.0,3965.0,4383.0,3413.0
20253,11215860,구의2동,CS100010,커피-음료,530568422.0,82411.0,339774871.0,190793551.0,58064382.0,75542872.0,65759559.0,68341603.0,72066455.0,100706184.0,90087367.0,484119.0,60880453.0,150636355.0,139308162.0,150828968.0,28430365.0,227485897.0,294903514.0,9272576.0,91689312.0,139364140.0,113283810.0,94129852.0,74649721.0,54173.0,28238.0,9917.0,11708.0,10332.0,10634.0,11582.0,14731.0,13507.0,36.0,13755.0,22188.0,20652.0,21724.0,4056.0,34602.0,46959.0,1647.0,14861.0,22416.0,19446.0,13480.0,9709.0
20253,11215860,구의2동,CS200001,일반교습학원,782932998.0,1831.0,760137936.0,22795062.0,163213981.0,131796649.0,243902905.0,109367934.0,111856467.0,17989523.0,4805539.0,0.0,6436743.0,78849961.0,239208905.0,391920147.0,66517242.0,356579088.0,426353910.0,0.0,34793202.0,10437960.0,473128968.0,206717186.0,57855682.0,1793.0,38.0,420.0,366.0,529.0,254.0,224.0,31.0,7.0,0.0,18.0,168.0,613.0,902.0,130.0,787.0,1044.0,0.0,17.0,52.0,1211.0,472.0,79.0
20253,11215860,구의2동,CS200003,예술학원,906827948.0,1668.0,639756903.0,267071045.0,121640730.0,129253341.0,55543648.0,117689212.0,215629972.0,224580926.0,42490119.0,0.0,142822156.0,155844432.0,192723261.0,360777422.0,54660677.0,194075936.0,712752012.0,0.0,12366234.0,128062577.0,688436628.0,68768775.0,9193734.0,1356.0,312.0,338.0,403.0,137.0,248.0,230.0,247.0,65.0,0.0,203.0,215.0,479.0,660.0,111.0,411.0,1257.0,0.0,158.0,352.0,956.0,176.0,26.0
20253,11215860,구의2동,CS200005,스포츠 강습,137259834.0,565.0,126898322.0,10361512.0,32251612.0,23364339.0,18788136.0,39954680.0,12539555.0,10226983.0,134529.0,0.0,0.0,21757818.0,46097564.0,59543539.0,9860913.0,30322298.0,106937536.0,0.0,31268025.0,18402745.0,55477321.0,15059704.0,17052039.0,546.0,19.0,143.0,131.0,72.0,153.0,47.0,14.0,5.0,0.0,0.0,86.0,212.0,250.0,17.0,199.0,366.0,0.0,66.0,77.0,306.0,50.0,66.0
20253,11215860,구의2동,CS200006,일반의원,742896488.0,47468.0,642141833.0,100754655.0,167954405.0,136026472.0,99482766.0,122512473.0,116165717.0,100754655.0,0.0,0.0,261778219.0,224257535.0,176936030.0,79924704.0,0.0,386330927.0,356565561.0,202047.0,21460912.0,73572089.0,131051421.0,155351403.0,361258616.0,41273.0,6195.0,10160.0,8379.0,7012.0,8036.0,7686.0,6195.0,0.0,0.0,17831.0,11173.0,12963.0,5501.0,0.0,26615.0,20853.0,37.0,1406.0,3378.0,7324.0,12724.0,22599.0
20253,11215860,구의2동,CS200007,치과의원,1468652421.0,14714.0,1263569403.0,205083018.0,342009255.0,290966701.0,212731540.0,163310580.0,254551327.0,171949544.0,33133474.0,0.0,279972055.0,472535339.0,403755987.0,312389040.0,0.0,666074464.0,802577957.0,1955798.0,123227163.0,205555666.0,226618636.0,337612449.0,573682709.0,12150.0,2564.0,3127.0,3256.0,1757.0,1566.0,2444.0,2288.0,276.0,0.0,3013.0,4282.0,3873.0,3546.0,0.0,6688.0,8026.0,88.0,1433.0,2406.0,2987.0,3310.0,4490.0
20253,11215860,구의2동,CS200008,한의원,385629383.0,15646.0,265838942.0,119790441.0,58625700.0,41380999.0,27811744.0,65619311.0,72401188.0,107845168.0,11945273.0,0.0,122809022.0,133681141.0,75487914.0,53651306.0,0.0,194131846.0,191497537.0,0.0,2395880.0,24688236.0,117452331.0,108719741.0,132373195.0,11636.0,4010.0,2344.0,2708.0,2305.0,1404.0,2875.0,2668.0,1342.0,0.0,3063.0,3984.0,4140.0,4459.0,0.0,8675.0,6971.0,0.0,215.0,762.0,2258.0,4731.0,7680.0
20253,11215860,구의2동,CS200016,당구장,173703084.0,11653.0,87052633.0,86650451.0,19454164.0,13032389.0,23029398.0,12785986.0,18750696.0,60347343.0,26303108.0,2560005.0,0.0,7380476.0,34418242.0,76046372.0,53297989.0,160928077.0,3747168.0,3836151.0,7029836.0,914722.0,7900873.0,73321419.0,71672245.0,6090.0,5563.0,1260.0,976.0,1469.0,980.0,1405.0,3601.0,1962.0,96.0,0.0,495.0,2743.0,4868.0,3451.0,10704.0,266.0,442.0,613.0,96.0,641.0,4166.0,5012.0
